nr_partition_year|nr_partition_month|nr_partition_day|dt_ref|seller_id|seller_receita_ciclo|seller_qt_pedidos_ciclo|seller_ticket_medio_ciclo|seller_qt_item_ciclo|seller_qt_item_dist_ciclo|seller_recencia_ciclo|seller_tempo_medio_entrega|seller_qt_ativacao_ciclo|seller_qt_dias_ativacao_ciclo|seller_qt_venda_AC|seller_qt_venda_AL|seller_qt_venda_AM|seller_qt_venda_AP|seller_qt_venda_BA|seller_qt_venda_CE|seller_qt_venda_DF|seller_qt_venda_ES|seller_qt_venda_GO|seller_qt_venda_MA|seller_qt_venda_MG|seller_qt_venda_MS|seller_qt_venda_MT|seller_qt_venda_PA|seller_qt_venda_PB|seller_qt_venda_PE|seller_qt_venda_PI|seller_qt_venda_PR|seller_qt_venda_RJ|seller_qt_venda_RN|seller_qt_venda_RO|seller_qt_venda_RR|seller_qt_venda_RS|seller_qt_venda_SC|seller_qt_venda_SE|seller_qt_venda_SP|seller_qt_venda_TO|seller_vl_agro_industria_e_comercio_ciclo|seller_vl_alimentos_bebidas_ciclo|seller_vl_artes_ciclo|seller_vl_artigos_de_festas_ciclo|seller_vl_audio_ciclo|seller_vl_automotivo_ciclo|seller_vl_bebes_ciclo|seller_vl_beleza_saude_ciclo|seller_vl_brinquedos_ciclo|seller_vl_cama_mesa_banho_ciclo|seller_vl_casa_ciclo|seller_vl_cds_dvds_musicais_ciclo|seller_vl_cine_foto_ciclo|seller_vl_climatizacao_ciclo|seller_vl_construcao_ciclo|seller_vl_cool_stuff_ciclo|seller_vl_eletrodomesticos_ciclo|seller_vl_eletronicos_ciclo|seller_vl_eletroportateis_ciclo|seller_vl_esporte_lazer_ciclo|seller_vl_fashion_ciclo|seller_vl_ferramentas_jardim_ciclo|seller_vl_flores_ciclo|seller_vl_industria_comercio_e_negocios_ciclo|seller_vl_instrumentos_musicais_ciclo|seller_vl_la_cuisine_ciclo|seller_vl_livros_ciclo|seller_vl_malas_acessorios_ciclo|seller_vl_market_place_ciclo|seller_vl_moveis_ciclo|seller_vl_musica_ciclo|seller_vl_papelaria_ciclo|seller_vl_informatica_ciclo|seller_vl_perfumaria_ciclo|seller_vl_pet_shop_ciclo|seller_vl_portateis_ciclo|seller_vl_relogios_presentes_ciclo|seller_vl_seguros_e_servicos_ciclo|seller_vl_sinalizacao_e_seguranca_ciclo|seller_vl_telefonia_ciclo|seller_vl_utilidades_domesticas_ciclo|seller_valor_pgmt_boleto_ciclo|seller_valor_pgmt_credit_card_ciclo|seller_valor_pgmt_debit_card_ciclo|seller_valor_pgmt_not_defined_ciclo|seller_valor_pgmt_voucher_ciclo|seller_tx_ativacao_ciclo|seller_receita_vida|seller_idade_base|seller_qt_pedidos_vida|seller_qt_item_dist_vida
2018|01|01|2018-01-01|3ea00e1dea2b0659dbaf654735929220|75.0|1|75.0|1|1|50.88|11.64|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|75.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|75.0|0.0|0.0|0.0|0.0|0.011|430.0|310.89|6|2
2018|01|01|2018-01-01|3f0e48d209018b466fcd3bb4ccfeb520|2099.6|3|699.87|4|2|14.24|12.4|2|3|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2099.6|0|0.0|0|0.0|0.0|0.0|0.0|2099.6|0.0|0.0|0.0|0.033|3699.3|151.4|6|2
2018|01|01|2018-01-01|3f2af2670e104d1bcb54022274daeac5|238.9|2|119.45|2|2|25.16|14.79|1|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|238.9|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|0.0|238.9|0.0|0.0|0.0|0.022|417.9|93.62|3|3
2018|01|01|2018-01-01|3f3486b61f45078d4f31ee5e43d8c5bb|109.8|2|54.9|2|1|4.11|17.9|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|109.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|0.0|54.9|0.0|0.0|54.9|0.074|109.8|27.19|2|1
2018|01|01|2018-01-01|3f995f07c49d0d55a99d5c54957f7d81|496.0|4|124.0|4|2|39.88|11.52|2|4|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|417.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|79.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|79.0|417.0|0.0|0.0|0.0|0.043|3345.7|262.44|33|3
2018|01|01|2018-01-01|3fd1e727ba94cfe122d165e176ce7967|424.2|8|53.03|8|4|15.55|15.14|1|8|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|2|1|0|0|0|0|0|0|3|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|424.19999999999993|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|0.0|424.2|0.0|0.0|0.0|0.266|424.2|30.03|8|4
2018|01|01|2018-01-01|403aa86912527d730337ffcb0fb096ab|1649.94|5|329.99|6|1|44.85|10.39|2|5|0|0|0|0|0|1|0|0|0|0|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|2|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|1649.94|0.0|274.99|1099.96|0.0|0.0|274.99|0.054|8959.89|334.44|11|6
2018|01|01|2018-01-01|4049512728d969bec69f84088b012416|156.09|3|52.03|4|3|24.86|14.92|2|3|0|0|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|148.0|0.0|0.0|0.0|8.09|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|156.09|0.0|0.0|0.0|0.0|0.033|216.69|252.07|4|4
2018|01|01|2018-01-01|404e1ba01358af4cd63f679b2c4d1fa1|149.9|2|74.95|3|2|39.2|14.58|1|2|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|149.9|0.0|84.9|0.0|0.0|65.0|0.022|134.7|132.93|4|4
2018|01|01|2018-01-01|406822777a0b9eb5c50e442dd4cd3ec5|643.0|8|80.38|9|7|12.09|13.46|2|7|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|4|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|493.09999999999997|0.0|0.0|0.0|0.0|0.0|0.0|149.9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|89.8|553.2|0.0|0.0|0.0|0.115|643.0|60.86|8|7
